,Bar_Time_UNIX,open,high,low,close,volume,Bar_Time_UTC_String
937,1623348900000,13952.5,13956.1,13941.1,13942.0,0,2021-06-10T18:15:00Z
938,1623349800000,13942.0,13947.7,13938.6,13944.2,0,2021-06-10T18:30:00Z
939,1623350700000,13944.2,13958.1,13936.0,13957.5,0,2021-06-10T18:45:00Z
940,1623351600000,13957.5,13958.3,13936.5,13950.5,0,2021-06-10T19:00:00Z
941,1623352500000,13950.5,13953.8,13942.5,13947.2,0,2021-06-10T19:15:00Z
942,1623353400000,13947.2,13951.5,13931.7,13938.7,0,2021-06-10T19:30:00Z
943,1623354300000,13938.7,13964.5,13935.0,13961.0,0,2021-06-10T19:45:00Z
944,1623355200000,13961.0,13973.2,13959.5,13964.7,0,2021-06-10T20:00:00Z
945,1623356100000,13964.7,13965.0,13964.7,13965.0,0,2021-06-10T20:15:00Z
946,1623357000000,13965.0,13970.8,13962.8,13970.1,0,2021-06-10T20:30:00Z
947,1623357900000,13970.1,13977.1,13969.7,13974.0,0,2021-06-10T20:45:00Z
948,1623358800000,13974.0,13974.0,13973.0,13973.0,0,2021-06-10T21:00:00Z
949,1623362400000,13973.0,13979.0,13971.8,13974.8,0,2021-06-10T22:00:00Z
950,1623363300000,13974.8,13976.3,13971.6,13976.2,0,2021-06-10T22:15:00Z
951,1623364200000,13976.2,13976.3,13967.8,13968.5,0,2021-06-10T22:30:00Z
952,1623365100000,13968.5,13970.5,13966.8,13969.5,0,2021-06-10T22:45:00Z
953,1623366000000,13969.5,13969.8,13962.5,13963.3,0,2021-06-10T23:00:00Z
954,1623366900000,13963.3,13969.0,13963.3,13968.3,0,2021-06-10T23:15:00Z
